,count,mean,std,min,25%,50%,75%,max
ifdm_dif_saude,184.0,0.035,0.0488,-0.0761,0.0012,0.028,0.0623,0.2117
ifdm_dif_educacao,184.0,0.0759,0.0348,0.0044,0.052,0.0742,0.094,0.296
2012_saude_nota,184.0,0.8074,0.099,0.4368,0.7658,0.8238,0.8787,0.966
2012_educacao_nota,184.0,0.7747,0.1125,0.5265,0.6869,0.7874,0.8646,0.9743
Saude,184.0,0.2361,0.0619,0.1004,0.1973,0.2227,0.2703,0.4209
Atencao Basica,184.0,0.0999,0.0569,0.0,0.0605,0.0935,0.1354,0.3203
Assistencia Hospitalar,184.0,0.0893,0.0671,0.0,0.0339,0.0868,0.1242,0.3238
Suporte Profilatico,184.0,0.0046,0.0092,0.0,0.0,0.0025,0.0059,0.0971
Vigilancia Sanitaria,184.0,0.002,0.0028,0.0,0.0002,0.001,0.0027,0.0193
Vigilancia Epidemiologica,184.0,0.005,0.0044,0.0,0.0017,0.0037,0.0079,0.0214
Alimentacao e Nutricao,184.0,0.0021,0.0058,0.0,0.0,0.0,0.0006,0.0332
Demais Subfuncoes Saude,184.0,0.0333,0.0447,0.0,0.0,0.0162,0.05,0.2219
Educacao,184.0,0.2729,0.0624,0.1445,0.2303,0.2704,0.3043,0.465
Ensino Fundamental,184.0,0.1998,0.068,0.0746,0.1531,0.1916,0.2395,0.4065
Ensino Medio,184.0,0.0028,0.0163,0.0,0.0,0.0,0.0009,0.1716
Ensino Profissional,184.0,0.0014,0.0054,0.0,0.0,0.0,0.0003,0.0452
Ensino Superior,184.0,0.0031,0.0095,0.0,0.0,0.0,0.0015,0.0703
Educacao Infantil,184.0,0.045,0.0321,0.0,0.0183,0.0394,0.0712,0.1444
Educacao de Jovens e Adultos,184.0,0.0021,0.0035,0.0,0.0,0.0007,0.0025,0.0209
Educacao Especial,184.0,0.0016,0.0029,0.0,0.0,0.0002,0.0023,0.0171
Demais Subfuncoes Educacao,184.0,0.0215,0.0324,0.0,0.0019,0.0112,0.0287,0.2205
Populacao,184.0,163855.0109,56230.2802,100166.0,115784.5,145899.5,203775.25,299758.0
